miRNA,Target_Gene
rno-miR-125b-5p,Sel1l
rno-miR-125b-5p,Slc1a5
rno-miR-125b-5p,Tmem120b
rno-miR-125b-5p,Rfxank
rno-miR-125b-5p,Mknk2
rno-miR-125b-5p,Bap1
rno-miR-125b-5p,G4
rno-miR-125b-5p,Stard13
rno-miR-125b-5p,Dus1l
rno-miR-126a-5p,Abcg5
rno-miR-126a-5p,Rtn4rl1
rno-miR-126a-5p,Ppp1r10
rno-miR-126a-5p,Tmx4
rno-miR-126a-5p,Csf1
rno-miR-1b,Bsn
rno-miR-1b,Myo1e
rno-miR-1b,Atp6v1a
rno-miR-218a-5p,Shank2
rno-miR-218a-5p,Pld5
rno-miR-29a-5p,Letm1
rno-miR-29a-5p,Arv1
rno-miR-29a-5p,Atp6v1a
rno-miR-29a-5p,Stau2
rno-miR-376c-3p,Map1b
rno-miR-379-3p,Gak
rno-miR-379-3p,Nlgn1
rno-miR-384-5p,Snx33
rno-miR-384-5p,Abcg5
rno-miR-384-5p,Erlin1
rno-miR-384-5p,Necap1
rno-miR-384-5p,Pnkd
rno-miR-384-5p,Tmem200a
rno-miR-384-5p,Me1
rno-miR-384-5p,Rab15
rno-miR-384-5p,Pik3cd
rno-miR-384-5p,Fam110b
rno-miR-431,Vps39
rno-miR-702-3p,RGD1307554
rno-miR-702-3p,Spryd3
rno-miR-708-3p,Rasl12
